display  D   display_settings.c:212  debug_display_settings           [   0.05108] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05112] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05120] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05124] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05129] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05133] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05139] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05143] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05148] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05154] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05160] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05165] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05171] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05176] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05182] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05187] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05192] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05196] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05200] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05205] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05211] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05215] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05220] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05224] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05230] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05234] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05240] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05244] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05249] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05253] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05257] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1682 d3d_create_display_internals     [   0.05262] Trying format 0.
d3d      I         d3d_disp.cpp:1358 d3d_display_thread_proc          [   0.05309] Chose a display format: 23
d3d      I         d3d_disp.cpp:1427 d3d_display_thread_proc          [   0.05315] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   0.07351] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:853  d3d_create_device                [   0.09107] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:861  d3d_create_device                [   0.09116] Success
d3d      D         d3d_disp.cpp:1705 d3d_create_display_internals     [   0.09122] Resumed after wait.
d3d      I         d3d_disp.cpp:1738 d3d_create_display_internals     [   0.09127] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1769 d3d_create_display_internals     [   0.09134] Returning d3d_display: 000001A91AD24830
d3d      D         d3d_disp.cpp:1794 d3d_create_display_locked        [   0.09139] al_display=000001A91AD24830
d3d      D         d3d_disp.cpp:1795 d3d_create_display_locked        [   0.09144] al_display->vt=000001A91AD24680
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09164] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09226] PathFindOnPath failed to find d3dx9_43.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09237] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09281] PathFindOnPath failed to find d3dx9_42.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09292] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09335] PathFindOnPath failed to find d3dx9_41.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09346] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09402] PathFindOnPath failed to find d3dx9_40.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09414] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09482] PathFindOnPath failed to find d3dx9_39.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09495] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09555] PathFindOnPath failed to find d3dx9_38.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09568] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09620] PathFindOnPath failed to find d3dx9_37.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09635] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09689] PathFindOnPath failed to find d3dx9_36.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09702] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09753] PathFindOnPath failed to find d3dx9_35.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09764] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09817] PathFindOnPath failed to find d3dx9_34.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09830] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09881] PathFindOnPath failed to find d3dx9_33.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09892] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.09936] PathFindOnPath failed to find d3dx9_32.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.09948] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10004] PathFindOnPath failed to find d3dx9_31.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10015] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10057] PathFindOnPath failed to find d3dx9_30.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10067] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10111] PathFindOnPath failed to find d3dx9_29.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10123] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10176] PathFindOnPath failed to find d3dx9_28.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10188] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10244] PathFindOnPath failed to find d3dx9_27.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10257] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10328] PathFindOnPath failed to find d3dx9_26.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10348] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10410] PathFindOnPath failed to find d3dx9_25.dll
system   D            wsystem.c:819  maybe_parent_dir                 [   0.10429] Also searching C:\Users\Matheus Moreira\source\repos\AllegroProj\x64\
system   W            wsystem.c:879  _al_win_safe_load_library        [   0.10492] PathFindOnPath failed to find d3dx9_24.dll
d3dx9    E        d3d_d3dx9.cpp:121  _al_load_d3dx9_module            [   0.10501] Failed to load D3DX9 library. Library is not installed.
dtor     D               dtor.c:196  _al_register_destructor          [   0.10522] added dtor for bitmap 000001A91FB11B40, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.10608] added dtor for bitmap 000001A91FB11380, func 00007FFE3D3A1186
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11007] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11016] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11023] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11028] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11034] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11039] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11045] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11051] Fake format
d3d      D         d3d_disp.cpp:1202 real_choose_bitmap_format        [   0.11056] Fake format
d3d      D         d3d_disp.cpp:1210 real_choose_bitmap_format        [   0.11062] Alpha doesn't match
d3d      D         d3d_disp.cpp:1217 real_choose_bitmap_format        [   0.11067] Adapter format is 23
d3d      D         d3d_disp.cpp:1220 real_choose_bitmap_format        [   0.11072] Found a format
d3d      I         d3d_disp.cpp:2391 d3d_create_bitmap                [   0.11078] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.11103] added dtor for bitmap 000001A91FB12300, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11137] added dtor for sub_bitmap 000001A91FB11F20, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11144] added dtor for sub_bitmap 000001A91FB124F0, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11149] added dtor for sub_bitmap 000001A91FB11190, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11155] added dtor for sub_bitmap 000001A91FB11D30, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11160] added dtor for sub_bitmap 000001A91FB10BC0, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11165] added dtor for sub_bitmap 000001A91FBB0000, func 00007FFE3D3A1186
dtor     D               dtor.c:196  _al_register_destructor          [   0.11171] added dtor for sub_bitmap 000001A91FBB1360, func 00007FFE3D3A1186
